id;name;type;last_modified;last_modified_by
1;61901;CC;Books;Syrian JBOD bypassing
2;13493;HEATH;workforce Configuration;Analyst
3;19790;VEHICAL;Hat;Auto Quality-focused e-tailers
4;40636;MAKE;Beauty platforms Practical;Loan override
5;67847;CC;Versatile ROI;syndicate
6;72290;VEHICAL;Account synergistic;Ergonomic
7;20493;CC;Credit;Music
8;36882;VEHICAL;azure Ecuador;Baby withdrawal
9;35430;VARIENT;asynchronous;Rubber Gorgeous Cambridgeshire
10;24605;MODEL;array Optimization;Nevada Garden Liaison
