id;premium;other_loading;other_discount;add_on_premium;liability_premium;od_premium;personal_accident_discount;personal_accident;gross_premium;gst;net_premium;last_modified;last_modified_by
1;63779;87350;96567;94943;38513;27960;true;85692;50717;75670;19674;Cheese;Generic
2;64526;52045;29371;1474;37240;40658;false;46155;34799;24796;19300;PNG;Handcrafted
3;18576;55137;49960;65444;17459;69164;false;22004;57787;99113;8963;Implementation;reboot
4;88210;72242;68845;71575;9846;48588;false;11797;76328;28139;10975;Infrastructure Tools;HDD quantifying
5;35721;91458;96446;12886;99690;30947;false;16899;46977;80066;26728;logistical USB heuristic;Skyway firewall GB
6;71905;33814;62461;85566;88623;73485;true;33894;48036;65305;51569;Infrastructure parse;synergize
7;26364;1380;66544;30240;99211;13375;true;92271;38595;8146;87609;array ubiquitous;France indigo
8;17904;6860;79929;45459;97015;65219;true;24429;67455;49466;49872;azure;Operations envisioneer
9;32597;4213;96927;61152;24448;61585;true;95404;23771;99462;46613;Internal;Hungary parse Industrial
10;29817;81798;11247;91500;95278;52642;true;7162;97242;73895;56745;Central;deposit Cambridgeshire Generic
