id;name;plan_no;uin_no;last_modified;last_modified_by
1;Steel;31485;calculating cross-platform Principal;wireless Computer;reboot magenta THX
2;THX;93728;Soap withdrawal;Metical Incredible;Union compressing
3;initiative Generic;32770;Drive Australian;Business-focused;Rubber
4;aggregate Security Data;35518;Dynamic Sports;Mexico yellow Cape;Ethiopia
5;Crossroad CSS;15521;Keyboard;Center black pixel;Account
6;Cheese Consultant online;80952;open-source;Fantastic;Buckinghamshire
7;metrics;95618;Data;sticky Harbors Automotive;Checking system-worthy
8;Steel;12655;relationships;Chair solution Zimbabwe;Chicken
9;Usability multi-byte;34414;Account;Global Industrial Concrete;Pants bypassing Chief
10;Tuvalu;80985;multi-byte Frozen;Product;Administrator CFA
