id;name;description;last_modified;last_modified_by
1;Chips Product;Grocery empower;tan International;Customer-focused
2;Associate;payment;architecture Factors bypass;Home
3;alarm;Georgia Games grow;Cambridgeshire Carolina;invoice
4;Health;strategic Universal invoice;Pound User national;cross-platform framework AI
5;workforce;Shilling;Hawaii modular Shirt;zero
6;web-enabled;Awesome;vortals JSON;Generic generate deposit
7;recontextualize Legacy;Ergonomic;Cotton Granite;SCSI
8;programming pixel Mauritius;Implemented value-added;Manager;Soap
9;generation;Account yellow quantifying;connect Secured Gorgeous;application grow California
10;Avon Baby project;JSON Card Principal;Uruguay;Cambridgeshire Danish target
