id;name;description;last_modified;last_modified_by
1;open-source Chief digital;optical port;Dollar capacitor;Spurs
2;Avon Executive;open-source Vermont;Legacy online;Technician Avon
3;Dinar parsing programming;Money panel;white;Oregon
4;and Kwacha;e-commerce Account Lake;hack Pound;Licensed Card
5;Factors Cambridgeshire;Administrator;Toys;withdrawal world-class Wooden
6;Port Infrastructure;Islands emulation;Chips Shore calculate;Cotton Mauritius
7;Intelligent XML up;methodology;maximize eyeballs virtual;Plastic Rica
8;Fresh TCP;Table;hack;Manager up Technician
9;Profit-focused payment;application embrace;Netherlands;Account Outdoors superstructure
10;Station;Tasty orchestration indigo;incentivize up Guinea-Bissau;Arkansas Buckinghamshire Generic
