id;level;access_id;last_modified;last_modified_by
1;CUSTOMER;74074;Auto Market;Grocery Avon
2;ADMIN;26180;Functionality Jersey Buckinghamshire;Tuna
3;CUSTOMER;76374;override state state;moratorium
4;CUSTOMER;22386;system Integrated Bedfordshire;bandwidth
5;ADMIN;88903;withdrawal ADP;Loan Village
6;AGENT;68242;payment;Account Solutions
7;AGENT;26228;Programmable morph Group;cultivate
8;ADMIN;43097;Berkshire exploit Rubber;productize
9;ADMIN;87371;Account;Persistent International
10;AGENT;62729;Parkway Car deposit;Money Gabon
